epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2578.3,0.74718,0.4785,0.98276,0.80971,0.79271,0.80428,0.64436,0.65867,0.37938,0.92894,0.000885523,0.000885523,0.000885523
43,2642.35,0.73514,0.48319,0.98273,0.97025,0.76352,0.8068,0.63982,0.64181,0.36886,0.92726,0.000880023,0.000880023,0.000880023
44,2704.98,0.73768,0.47653,0.97665,0.9312,0.81016,0.8223,0.65949,0.61141,0.33162,0.91465,0.000874524,0.000874524,0.000874524
45,2775.17,0.73735,0.47518,0.98598,0.8786,0.79314,0.81575,0.65269,0.631,0.34679,0.92068,0.000869024,0.000869024,0.000869024
46,2833.7,0.73893,0.46312,0.97445,0.86983,0.79067,0.8164,0.65049,0.66357,0.33475,0.92995,0.000863525,0.000863525,0.000863525
47,2897.49,0.74827,0.46871,0.98563,0.90571,0.82396,0.82439,0.67022,0.61239,0.32985,0.91482,0.000858025,0.000858025,0.000858025
48,2965.73,0.73911,0.46133,0.98513,0.91982,0.80012,0.8199,0.65184,0.63316,0.40463,0.92773,0.000852526,0.000852526,0.000852526
49,3026.37,0.73407,0.47257,0.97249,0.91056,0.83448,0.83504,0.67172,0.61025,0.33432,0.91782,0.000847026,0.000847026,0.000847026
50,3085.76,0.73043,0.46111,0.9747,0.84859,0.82759,0.81572,0.65068,0.68265,0.37173,0.9431,0.000841527,0.000841527,0.000841527
51,3147.29,0.70035,0.45087,0.95903,0.86035,0.81227,0.81633,0.65935,0.61753,0.32941,0.91689,0.000836027,0.000836027,0.000836027
52,3205.88,0.72656,0.46232,0.97123,0.85677,0.81862,0.82436,0.64953,0.66155,0.35041,0.92936,0.000830528,0.000830528,0.000830528
53,3264.6,0.71536,0.45018,0.97644,0.8373,0.82293,0.81887,0.65739,0.64168,0.34328,0.92415,0.000825029,0.000825029,0.000825029
54,3323.11,0.71852,0.44444,0.95879,0.9156,0.81271,0.82491,0.64533,0.66548,0.36379,0.93623,0.000819529,0.000819529,0.000819529
55,3381.75,0.71058,0.43363,0.97149,0.89956,0.79474,0.81986,0.66133,0.60773,0.33933,0.91423,0.00081403,0.00081403,0.00081403
56,3444.83,0.72009,0.42323,0.96675,0.85932,0.82922,0.8217,0.66445,0.62492,0.33049,0.91767,0.00080853,0.00080853,0.00080853
57,3503.72,0.70824,0.42418,0.9694,0.9112,0.81975,0.82434,0.66669,0.62631,0.33249,0.92614,0.000803031,0.000803031,0.000803031
58,3565.54,0.68622,0.43151,0.96042,0.97413,0.80601,0.82341,0.66255,0.60188,0.31611,0.9126,0.000797531,0.000797531,0.000797531
59,3624.37,0.72221,0.44359,0.98173,0.86415,0.82922,0.82499,0.66136,0.61898,0.32845,0.91655,0.000792032,0.000792032,0.000792032
