STT,Sản phẩm,Kết quả,Thời gian
21,Viên rời,[NG] NG (1 LỖI),2026-05-03 09:10:33
22,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 09:10:44
23,Viên rời,[NG] NG (1 LỖI),2026-05-03 09:10:54
1,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 09:14:39
2,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 09:14:48
3,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 09:14:58
4,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 09:15:05
5,Viên rời,[NG] NG (1 LỖI),2026-05-03 09:15:14
6,Viên rời,[NG] NG (1 LỖI),2026-05-03 09:15:28
7,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 09:15:51
8,Viên rời,[NG] NG (3 LỖI),2026-05-03 09:16:00
9,Viên rời,[OK] CHỜ VẬT THỂ,2026-05-03 09:16:22
10,Viên rời,[NG] NG (1 LỖI),2026-05-03 09:16:53
1,Viên rời,[NG] NG (1 LỖI),2026-05-03 11:04:23
2,Viên rời,[NG] NG (1 LỖI),2026-05-03 11:05:46
3,Viên rời,[NG] NG (1 LỖI),2026-05-03 11:06:27
4,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 11:06:59
5,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 11:07:15
6,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 11:07:29
7,Viên rời,[NG] NG (1 LỖI),2026-05-03 11:07:41
1,Viên rời,[NG] NG (1 LỖI),2026-05-03 11:30:26
2,Viên rời,[NG] NG (1 LỖI),2026-05-03 11:30:43
3,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 11:30:57
4,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 11:31:10
5,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 11:31:32
6,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 11:31:45
7,Viên rời,[NG] NG (1 LỖI),2026-05-03 11:32:00
1,Viên rời,[NG] NG (1 LỖI),2026-05-03 11:47:36
2,Viên rời,[NG] NG (1 LỖI),2026-05-03 11:48:03
0,Viên rời,[NG] NG (1 LỖI),2026-05-03 11:56:42
2,Viên rời,[NG] NG (1 LỖI),2026-05-03 11:57:20
2,Viên rời,[NG] NG (1 LỖI),2026-05-03 11:57:42
3,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 11:58:16
4,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 12:03:29
6,Viên rời,[NG] NG (1 LỖI),2026-05-03 12:03:46
7,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 12:04:01
0,Vỉ thuốc,[NG] NG - Vỉ bị cắt: thiếu 8 viên (chỉ thấy 2/10 viên) | Nứt/Vỡ: 1 viên,2026-05-03 12:23:49
1,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 12:24:22
2,Viên rời,[NG] NG (1 LỖI),2026-05-03 13:02:36
4,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 13:07:17
5,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 13:11:06
6,Viên rời,[OK] SẢN PHẨM OK,2026-05-03 13:19:40
