STT,Sản phẩm,Kết quả,Thời gian
1,Viên rời,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-30 20:43:18
2,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",2026-04-30 20:43:37
1,Viên rời,[NG] NG (1 LỖI),2026-04-30 22:58:57
2,Viên rời,[OK] SẢN PHẨM OK,2026-04-30 22:59:14
3,Viên rời,[NG] NG (1 LỖI),2026-04-30 22:59:21
4,Viên rời,[OK] SẢN PHẨM OK,2026-04-30 22:59:54
5,Viên rời,[OK] SẢN PHẨM OK,2026-04-30 23:00:16
6,Viên rời,[NG] NG (1 LỖI),2026-04-30 23:00:31
7,Viên rời,[OK] SẢN PHẨM OK,2026-04-30 23:00:48
1,Viên rời,[NG] NG (1 LỖI),2026-04-30 23:43:10
2,Viên rời,[OK] SẢN PHẨM OK,2026-04-30 23:43:27
3,Viên rời,[OK] SẢN PHẨM OK,2026-04-30 23:43:45
1,Viên rời,[NG] NG (1 LỖI),2026-04-30 23:57:36
2,Viên rời,[NG] NG (1 LỖI),2026-04-30 23:58:01
3,Viên rời,[NG] NG (1 LỖI),2026-04-30 23:58:28
4,Viên rời,[OK] SẢN PHẨM OK,2026-04-30 23:58:53
1,Viên rời,[OK] SẢN PHẨM OK,2026-05-01 00:04:49
2,Viên rời,[OK] SẢN PHẨM OK,2026-05-01 00:05:11
3,Viên rời,[OK] SẢN PHẨM OK,2026-05-01 00:05:33
4,Viên rời,[NG] NG (2 LỖI),2026-05-01 00:06:18
