STT,Sản phẩm,Kết quả,Thời gian
5,Vỉ thuốc,[OK] SẢN PHẨM OK - Không phát hiện lỗi trên vỉ,2026-04-28 18:16:13
6,Vỉ thuốc,"[NG] NG - Nứt/Vỡ viên - Phát hiện 1 lỗi:,   • Nứt/Vỡ viên",2026-04-28 18:16:34
7,Vỉ thuốc,[OK] SẢN PHẨM OK - Không phát hiện lỗi trên vỉ,2026-04-28 18:16:49
8,Vỉ thuốc,"[NG] NG - Dị vật - Phát hiện 1 lỗi:,   • Dị vật",2026-04-28 18:17:14
9,Vỉ thuốc,"[NG] NG - Thiếu viên - Phát hiện 6 lỗi:,   • Thiếu viên",2026-04-28 18:17:47
10,Vỉ thuốc,"[NG] NG - Thiếu viên - Phát hiện 4 lỗi:,   • Thiếu viên",2026-04-28 18:18:04
11,Vỉ thuốc,"[NG] NG - Dị vật - Phát hiện 1 lỗi:,   • Dị vật",2026-04-28 18:18:33
12,Vỉ thuốc,[OK] SẢN PHẨM OK - Không phát hiện lỗi trên vỉ,2026-04-28 18:18:37
13,Vỉ thuốc,"[NG] NG - Dị vật - Phát hiện 1 lỗi:,   • Dị vật",2026-04-28 18:18:51
14,Vỉ thuốc,[OK] SẢN PHẨM OK - Không phát hiện lỗi trên vỉ,2026-04-28 18:19:15
15,Vỉ thuốc,"[NG] NG - Nứt/Vỡ viên - Phát hiện 1 lỗi:,   • Nứt/Vỡ viên",2026-04-28 18:19:43
16,Vỉ thuốc,[OK] SẢN PHẨM OK - Không phát hiện lỗi trên vỉ,2026-04-28 18:20:02
17,Vỉ thuốc,[OK] SẢN PHẨM OK - Không phát hiện lỗi trên vỉ,2026-04-28 18:20:25
1,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên) - Vỉ chuẩn: 10 viên | Phát hiện: 1 viên,   • Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên)",2026-04-28 18:32:39
2,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên) - Vỉ chuẩn: 10 viên | Phát hiện: 1 viên,   • Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên)",2026-04-28 18:33:01
3,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên) - Vỉ chuẩn: 10 viên | Phát hiện: 1 viên,   • Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên)",2026-04-28 18:33:19
1,Viên rời,"[NG] NG (1 LỖI) - OK: 1, Lỗi: 1 (di vat)",2026-04-28 18:34:06
2,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên) - Vỉ chuẩn: 10 viên | Phát hiện: 1 viên,   • Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên)",2026-04-28 18:34:24
3,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên) - Vỉ chuẩn: 10 viên | Phát hiện: 1 viên,   • Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên)",2026-04-28 18:34:39
4,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên) - Vỉ chuẩn: 10 viên | Phát hiện: 1 viên,   • Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên)",2026-04-28 18:34:58
