STT,Sản phẩm,Kết quả,Thời gian
1,Viên rời,"SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",20260427_153903
2,Viên rời,"NG (1 LỖI) - OK: 0, Lỗi: 1 (di vat)",20260427_153943
3,Viên rời,"SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",20260427_153958
1,Viên rời,"NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",20260427_154445
2,Viên rời,"NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",20260427_154502
1,Viên rời,"SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",20260427_155849
2,Viên rời,"NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",20260427_155913
3,Viên rời,"SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",20260427_155937
4,Viên rời,"NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",20260427_155947
5,Viên rời,"NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",20260427_155954
1,Viên rời,"NG (1 LỖI) - OK: 0, Lỗi: 1 (di vat)",20260427_230444
2,Viên rời,"NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",20260427_230503
Vỉ thuốc,CHỜ VẬT THỂ,20260427_231035
Vỉ thuốc,CHỜ VẬT THỂ,20260427_231048
Viên rời,"NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",20260427_231301
Viên rời,"NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",20260427_231316
Vỉ thuốc,"SẢN PHẨM OK - OK: 5, Lỗi: 0 ()",20260427_231351
Vỉ thuốc,CHỜ VẬT THỂ,20260427_231827
Viên rời,"SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",20260427_231854
Viên rời,"NG (1 LỖI) - OK: 0, Lỗi: 1 (di vat)",20260427_231908
Viên rời,"SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",20260427_232632
Viên rời,"SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",20260427_232655
Viên rời,"SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",20260427_232904
Viên rời,"NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",20260427_232925
Viên rời,"SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",20260427_233220
Viên rời,"NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",20260427_233232
1,Viên rời,"SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",20260427_233838
2,Viên rời,"SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",20260427_233854
3,Viên rời,"SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",20260427_233904
4,Viên rời,"NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",20260427_233916
5,Viên rời,"SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",20260427_233924
